Coord,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
10.25_104.75,1.6395304624208906,0.061637676290914566,1.593310874178868,10.438547552795427,5.011306345506696,1.6943416825097977,0.5651318382464862,115.63086721054795,preci,All,Day
10.25_105.25,1.335631324577733,-0.14350729400150805,0.7492004125646621,9.732926150246472,1.5980471547114714,0.7159411951076515,2.4655613259023426,105.36089973339713,preci,All,Day
10.25_105.75,1.3057947549791495,-0.8285849721750527,0.27371596377187146,8.068114217959453,0.7516486302833099,0.11018551998965655,2.5004243483846977,95.46524311072541,preci,All,Day
10.25_106.25,1.4502570553536607,-0.8237247020547263,0.39969173449980877,7.233584891968703,0.9180296682200633,0.344474725928541,1.7388246331323396,96.96467086791243,preci,All,Day
10.25_106.75,1.4648960702584963,0.49838232833017554,-1.0723706273567022,8.12671331569162,0.49646093235713223,-0.08462492828925432,0.6576934723033769,115.22911542122796,preci,All,Day
10.75_104.75,2.224287149503392,-0.6109861989600877,1.4019703236886347,11.555187642107503,4.178771195407575,1.537786188497041,1.520403408869349,86.39113603091734,preci,All,Day
10.75_105.25,1.7047504669440867,-0.1813399708642774,1.127142385065502,8.918872658867079,1.9026704687703013,1.212455109948071,3.3552618824396108,83.04500870992499,preci,All,Day
10.75_105.75,1.192604746201859,-0.3087662214496168,0.4723553573196745,6.9463090896939335,1.2432351662781496,0.5076129268366796,3.0897131984210526,89.99359078114948,preci,All,Day
11.25_104.25,2.4203910862103504,-0.1223524129796424,1.0416364779919283,11.567676462844002,2.7886688065237495,1.411488899347664,1.4668474044903559,73.63838974857016,preci,All,Day
11.25_104.75,2.045568624090916,-0.615855066695426,0.7831187285400201,8.492261731606959,2.8670263487737353,1.197906523149586,2.3462681780672345,63.388488635392164,preci,All,Day
11.25_105.25,1.8181281218549965,0.3248546795695845,1.3671997064551022,7.216061072478533,2.834938738747343,1.3508027400527636,4.070007906288439,68.2300200717668,preci,All,Day
11.75_104.25,2.265829079049875,0.24479671358409927,-0.31956871948775767,8.87324037408281,3.349525209776749,-0.04241030527091168,2.686207134375555,55.49353275703824,preci,All,Day
11.75_104.75,1.8427594545115593,-0.26304682571902727,0.346075053983201,5.863274970251947,3.3977629697266525,0.5668452772737075,2.7409271689036965,49.74869969029651,preci,All,Day
11.75_105.25,1.7984716818029476,0.7938914510199009,1.3197396141045294,6.479863753769361,3.315940534047013,1.380063528254421,4.517995158986706,61.121673660250615,preci,All,Day
12.25_103.25,1.9360928978583816,4.4792679184508915,0.8106938008957937,17.434757557395624,1.7307981095435994,1.922191754435536,5.34613345009066,108.28334879149813,preci,All,Day
12.25_103.75,2.104610297499117,1.4951907959464237,-0.3857504333644114,11.058164428610093,2.410391910694426,-0.2897917426436578,2.5916680437376938,68.14904337066888,preci,All,Day
12.25_104.25,1.4906617545322383,0.1718885324042805,0.5615133867568429,6.681963934666183,2.3942152883134526,0.8983750363674592,3.8985542797148613,53.19872610263693,preci,All,Day
12.25_104.75,1.327452964963076,0.022774782422005025,0.7216826004444576,4.706528327139618,2.472966905158766,0.994355860129457,3.064462791711591,55.21259291705958,preci,All,Day
12.25_105.25,1.4397260588624048,1.1706082589588327,1.505483553998064,6.382825402544095,2.6628354979213165,1.2835430828421057,4.364080021914375,71.87168739426329,preci,All,Day
12.25_105.75,1.6687986725616146,0.7124204289534876,1.3601296081053271,7.882211614504291,2.868679409625122,1.3371934940678551,4.657128575828567,98.95155279629321,preci,All,Day
12.25_106.25,1.6696477263632599,0.1221138135769767,1.5854639834483073,7.315533398742336,3.033927028240338,1.7746340878473434,3.948010996834469,142.3780100241382,preci,All,Day
12.25_106.75,1.160848806132217,-0.03413939460233742,1.1617795449436685,7.438940650920312,2.434503744616404,0.44434491311316227,2.5164429906562216,207.4488108474637,preci,All,Day
12.25_107.25,-0.14712641643790114,4.0330317645303,3.7549291442873547,6.687554393672672,0.8971078186453695,1.5523231073814585,6.132986010643748,258.5752084967757,preci,All,Day
12.25_107.75,-0.395620970786118,3.0961413294752758,-0.7020768910461153,5.443305976410033,0.2092694746453696,-1.0732117687406375,0.08532845402470338,171.90252577500343,preci,All,Day
12.25_108.25,0.24232631315881578,6.994497348001524,-1.1803176510759519,6.888601502701072,0.6873026536776726,-1.616481371320841,3.341550004024034,105.33937707984116,preci,All,Day
12.75_102.75,2.4108535945896272,0.5090283992272979,1.5861191520402351,16.257056666049174,1.7460605919318872,2.4118897305822733,1.7360941936591117,102.79806118236166,preci,All,Day
12.75_103.25,1.9602341241108177,-0.2868775490142422,-0.13447842922663641,10.200236403176792,2.050889243752095,-0.4349543621051861,0.025675759539108618,72.47582208105467,preci,All,Day
12.75_103.75,1.5550317751811784,-1.1219077488016136,-0.32055826000364973,5.871276233244759,1.7185450670686953,-0.19482323331777657,0.10995526640979617,57.892164702277135,preci,All,Day
12.75_104.25,1.2777472788782192,-0.6676464365359619,0.4388964207007013,4.8811683271297035,2.7014756720212048,0.4829184231540696,1.1789367959556434,57.97650621270735,preci,All,Day
12.75_104.75,1.441900705088271,-0.26263181554974185,1.1364642511996446,4.666411031353961,1.4760491108470986,0.9576966892954558,2.246530051487025,71.2574765321137,preci,All,Day
12.75_105.25,1.5635975256885917,0.6408564023204854,1.2836471927628745,7.180191438897468,1.9478399815683516,1.363069046606965,4.186624542366078,87.77810255169936,preci,All,Day
12.75_105.75,1.7106259633013998,0.693769630824467,1.4356076499260926,8.102877473995706,2.2906384353873905,1.2331594228306642,3.756376522205628,105.06020288026197,preci,All,Day
